;region;district;blr_name;rus_name;id;latitude;longtitude
0;Брэсцкая;<вобласць>;Брэст;Брест;27171628;52.093751;23.6851851
1;Брэсцкая;<вобласць>;Баранавічы;Барановичи;242978911;53.1322925;26.0184156
2;Брэсцкая;<вобласць>;Пінск;Пинск;242978912;52.1113612;26.102377
3;Брэсцкая;Баранавіцкі;Гарадзішча;Городище;242979015;53.3268244;26.0056767
4;Брэсцкая;Баранавіцкі;Амнявічы;Омневичи;242992435;53.35502;25.90242
5;Брэсцкая;Баранавіцкі;Арабаўшчына;Арабовщина;242994500;53.26343;26.04446
6;Брэсцкая;Баранавіцкі;Боўцічы;Болтичи;242992772;53.36025;26.03468
7;Брэсцкая;Баранавіцкі;Брыксічы;Брыксичи;2796560834;53.3343794;26.0162482
8;Брэсцкая;Баранавіцкі;Вялікае Сяло;Великое Село;242992394;53.3109897;25.997913
9;Брэсцкая;Баранавіцкі;Гаранавічы;Гарановичи;242992796;53.35347;25.9134
10;Брэсцкая;Баранавіцкі;Грыбаўшчына;Грибовщина;242994642;53.3139;26.03846
11;Брэсцкая;Баранавіцкі;Душкаўцы;Душковцы;242992420;53.36162;25.94379
12;Брэсцкая;Баранавіцкі;Зялёная;Зелёная;242992438;53.3610391;25.9691488
13;Брэсцкая;Баранавіцкі;Калдычэва;Колдычево;242994507;53.2810099;26.0523618
14;Брэсцкая;Баранавіцкі;Канюшоўшчына;Конюшовщина;242992804;53.35338;25.97829
15;Брэсцкая;Баранавіцкі;Кісялі;Кисели;242992397;53.32935;25.97966
16;Брэсцкая;Баранавіцкі;Мастытычы;Мостытычи;242992402;53.34858;25.96507
17;Брэсцкая;Баранавіцкі;Мікулічы;Микуличи;242992807;53.3834204;25.9392224
19;Брэсцкая;Баранавіцкі;Насейкі;Насейки;2796924912;53.3628216;25.9566698
20;Брэсцкая;Баранавіцкі;Паручын;Поручин;242992775;53.3645189;26.0020515
21;Брэсцкая;Баранавіцкі;Пруды;Пруды;2797386760;53.356489;26.0644483
22;Брэсцкая;Баранавіцкі;Станкевічы;Станкевичи;242992444;53.29639;25.97503
23;Брэсцкая;Баранавіцкі;Ясянец;Ясенец;242994599;53.3512987;26.0414984
24;Брэсцкая;Баранавіцкі;Вялікія Лукі;Великие Луки;242994441;53.0121185;26.0427587
25;Брэсцкая;Баранавіцкі;Грабавец;Грабовец;242994534;53.0892;26.05193
26;Брэсцкая;Баранавіцкі;Кабушкіна;Кабушкино;2798103372;53.0449883;26.0743546
27;Брэсцкая;Баранавіцкі;Капані;Копани;2798111738;53.0842589;26.0701511
28;Брэсцкая;Баранавіцкі;Крыжыкі;Крыжики;242994376;53.0642337;26.0612993
29;Брэсцкая;Баранавіцкі;Малыя Лукі;Малые Луки;1698681103;53.0193077;26.0454675
30;Брэсцкая;Баранавіцкі;Новыя Лукі;Новые Луки;242994390;53.02774;26.06833
31;Брэсцкая;Баранавіцкі;Русіно;Русино;242994415;53.0830582;26.0923572
32;Брэсцкая;Баранавіцкі;Янова;Яново;242994546;53.11126;26.0709
33;Брэсцкая;Баранавіцкі;Азярэц;Озерец;242994636;53.2954862;26.1408945
34;Брэсцкая;Баранавіцкі;Бартнікі;Бартники;242994624;53.3044141;26.180582
36;Брэсцкая;Баранавіцкі;Вольна;Вольно;242995970;53.29983;26.22171
37;Брэсцкая;Баранавіцкі;Галынка;Голынка;242995982;53.2464643;26.3029776
38;Брэсцкая;Баранавіцкі;Задзвея;Задвея;242995973;53.3077004;26.2758177
39;Брэсцкая;Баранавіцкі;Залессе;Залесье;242994510;53.2841601;26.1649437
40;Брэсцкая;Баранавіцкі;Ліхасельцы;Лихосельцы;242995985;53.24644;26.31612
41;Брэсцкая;Баранавіцкі;Нагорнае;Нагорное;242995976;53.2532161;26.2711953
42;Брэсцкая;Баранавіцкі;Ніжняе Чэрніхава;Нижнее Чернихово;242995979;53.2480374;26.2855511
43;Брэсцкая;Баранавіцкі;Рабковічы;Рабковичи;242995961;53.3089426;26.2565336
44;Брэсцкая;Баранавіцкі;Росаш;Росошь;242994645;53.32352;26.19312
45;Брэсцкая;Баранавіцкі;Савічы;Савичи;242995966;53.28086;26.28488
46;Брэсцкая;Баранавіцкі;Цішкоўцы;Тишковцы;242996003;53.21983;26.30024
48;Брэсцкая;Баранавіцкі;Агароднікі;Огородники;242992554;53.2548436;25.8791847
49;Брэсцкая;Баранавіцкі;Багушы;Богуши;242992447;53.3022632;25.9451264
50;Брэсцкая;Баранавіцкі;Гірмантаўцы;Гирмантовцы;242992453;53.2742596;25.9185836
51;Брэсцкая;Баранавіцкі;Жабінцы;Жабинцы;242992520;53.2904951;25.9159193
52;Брэсцкая;Баранавіцкі;Жалезніца;Железница;242992510;53.2640849;25.8918938
53;Брэсцкая;Баранавіцкі;Каўшы;Ковши;242992531;53.2418276;25.9247787
54;Брэсцкая;Баранавіцкі;Крапачы;Крапочи;242992508;53.2862851;25.9562482
55;Брэсцкая;Баранавіцкі;Красявічы;Красевичи;242992405;53.2704799;25.9604448
56;Брэсцкая;Баранавіцкі;Лозы;Лозы;242992430;53.33673;25.93314
57;Брэсцкая;Баранавіцкі;Навінкі;Новинки;242992516;53.2904386;25.8808957
58;Брэсцкая;Баранавіцкі;Нагорная;Нагорная;242992499;53.320412;25.9492676
60;Брэсцкая;Баранавіцкі;Сакаловічы;Соколовичи;242992551;53.25545;25.92602
61;Брэсцкая;Баранавіцкі;Слабажаны;Слобожаны;242992450;53.32386;25.90851
62;Брэсцкая;Баранавіцкі;Сялявічы;Селявичи;242992522;53.29914;25.94413
63;Брэсцкая;Баранавіцкі;Альбінкі;Альбинки;242991644;53.1264577;25.7343758
64;Брэсцкая;Баранавіцкі;Бор;Бор;242991686;53.19717;25.74286
65;Брэсцкая;Баранавіцкі;Важгінты;Важгинты;242991667;53.15443;25.7570363
66;Брэсцкая;Баранавіцкі;Гардзейчыкі;Гордейчики;242991669;53.1151816;25.7414647
67;Брэсцкая;Баранавіцкі;Дзекалы;Деколы;242991681;53.12199;25.6911
68;Брэсцкая;Баранавіцкі;Дзеткавічы;Детковичи;242991678;53.1170026;25.6953928
69;Брэсцкая;Баранавіцкі;Дубішча;Дубище;242991695;53.1557622;25.7834927
70;Брэсцкая;Баранавіцкі;Жамчужны;Жемчужный;2095559399;53.135334;25.8760374
71;Брэсцкая;Баранавіцкі;Звераўшчына;Зверовщина;242991722;53.21065;25.70586
72;Брэсцкая;Баранавіцкі;Небыты;Небыты;242991672;53.13495;25.77212
73;Брэсцкая;Баранавіцкі;Пераносіны;Переносины;242991725;53.17469;25.72972
74;Брэсцкая;Баранавіцкі;Сасновая;Сосновая;242991675;53.0940481;25.7465031
75;Брэсцкая;Баранавіцкі;Свіраны;Свираны;242991689;53.18867;25.71496
76;Брэсцкая;Баранавіцкі;Сеўрукі;Севруки;242991646;53.13065;25.80405
77;Брэсцкая;Баранавіцкі;Спачынак;Спочинок;242991664;53.1201097;25.8207179
78;Брэсцкая;Баранавіцкі;Цівунцы;Тиунцы;242991661;53.1041962;25.754913
79;Брэсцкая;Баранавіцкі;Цяплівады;Тепливоды;242991699;53.1506244;25.810114
80;Брэсцкая;Баранавіцкі;Алізараўшчына;Олизаровщина;2798146392;53.355854;26.0879744
81;Брэсцкая;Баранавіцкі;Быткоўшчына;Бытковщина;242994654;53.3480978;26.1116854
82;Брэсцкая;Баранавіцкі;Вызарак;Вызорок;242994620;53.31047;26.09845
83;Брэсцкая;Баранавіцкі;Высадавічы;Высадовичи;242994591;53.36643;26.18729
84;Брэсцкая;Баранавіцкі;Грачыхі;Гречихи;242994573;53.3632823;26.0788026
85;Брэсцкая;Баранавіцкі;Карчова;Карчёво;242994660;53.36557;26.11948
86;Брэсцкая;Баранавіцкі;Кутаўшчына;Кутовщина;242994581;53.3517397;26.079962
87;Брэсцкая;Баранавіцкі;Мітрапольшчына;Митропольщина;242994605;53.3640124;26.1483043
88;Брэсцкая;Баранавіцкі;Пянчын;Пенчин;242994648;53.331398;26.1350595
89;Брэсцкая;Баранавіцкі;Пярэвалака;Переволока;242994614;53.3166949;26.066522
90;Брэсцкая;Баранавіцкі;Рудашы;Рудаши;242994603;53.3695775;26.1593885
91;Брэсцкая;Баранавіцкі;Савецкі;Советский;1639707419;53.3415832;26.105276
92;Брэсцкая;Баранавіцкі;Скробава;Скробово;242994504;53.3272908;26.1025028
93;Брэсцкая;Баранавіцкі;Трацэвічы;Трацевичи;242994570;53.3582185;26.1353858
94;Брэсцкая;Баранавіцкі;Адахаўшчына;Адаховщина;242994531;53.1535547;26.1536076
95;Брэсцкая;Баранавіцкі;Анісімавічы;Анисимовичи;242992577;53.1467003;25.983471
96;Брэсцкая;Баранавіцкі;Антанова;Антоново;242992602;53.16284;25.97666
97;Брэсцкая;Баранавіцкі;Вялікая Каўпеніца;Великая Колпеница;242992563;53.1689615;26.0308071
98;Брэсцкая;Баранавіцкі;Гірава;Гирово;242994519;53.13005;26.10197
99;Брэсцкая;Баранавіцкі;Дубава;Дубово;242994522;53.1554633;26.1096488
100;Брэсцкая;Баранавіцкі;Заброддзе;Забродье;242994515;53.1481743;26.1432367
101;Брэсцкая;Баранавіцкі;Лаўрынавічы;Лавриновичи;242994404;53.1530828;26.1313592
102;Брэсцкая;Баранавіцкі;Малая Каўпеніца;Малая Колпеница;242992565;53.1752028;26.0281311
103;Брэсцкая;Баранавіцкі;Новы Свет;Новый Свет;242994477;53.1814903;26.0621047
104;Брэсцкая;Баранавіцкі;Якімавічы;Якимовичи;242994558;53.16842;26.14197
105;Брэсцкая;Баранавіцкі;Альсевічы;Ольсевичи;242994474;53.1823774;26.1503198
106;Брэсцкая;Баранавіцкі;Дуброўна;Дубровно;242994486;53.20687;26.12154
107;Брэсцкая;Баранавіцкі;Залюбічы;Залюбичи;242996029;53.1683547;26.2247999
108;Брэсцкая;Баранавіцкі;Кломпікі;Кломпики;242996006;53.2001008;26.2413414
109;Брэсцкая;Баранавіцкі;Крошын;Крошин;242994549;53.1985619;26.1558193
110;Брэсцкая;Баранавіцкі;Макашы;Макаши;242996015;53.1918411;26.2529544
111;Брэсцкая;Баранавіцкі;Падлясейкі;Подлесейки;242996023;53.17889;26.25664
112;Брэсцкая;Баранавіцкі;Прыдаткі;Придатки;242994471;53.2171196;26.1769795
113;Брэсцкая;Баранавіцкі;Скарчава;Скарчево;242994552;53.19623;26.10523
114;Брэсцкая;Баранавіцкі;Стары Двор;Старый Двор;242994494;53.18704;26.19235
115;Брэсцкая;Баранавіцкі;Уласы;Уласы;242994468;53.23623;26.12017
116;Брэсцкая;Баранавіцкі;Юшкавічы;Юшковичи;242996018;53.2146;26.2199
117;Брэсцкая;Баранавіцкі;Ятвезь;Ятвезь;242996032;53.16533;26.2999
118;Брэсцкая;Баранавіцкі;Бярозаўка;Берёзовка;242991653;53.0242607;25.7698325
119;Брэсцкая;Баранавіцкі;Груды;Груды;242991658;53.00637;25.85341
120;Брэсцкая;Баранавіцкі;Грыцавец;Грицевец;3127545397;53.041578;25.8667406
