Вобласць;Раён;Назва без націскаў;Назва па-расейску;osm:Node ID
Брэсцкая;<вобласць>;Брэст;Брест;27171628
Брэсцкая;<вобласць>;Баранавічы;Барановичи;242978911
Брэсцкая;<вобласць>;Пінск;Пинск;242978912
Брэсцкая;Баранавіцкі;Гарадзішча;Городище;242979015
Брэсцкая;Баранавіцкі;Амнявічы;Омневичи;242992435
Брэсцкая;Баранавіцкі;Арабаўшчына;Арабовщина;242994500
Брэсцкая;Баранавіцкі;Боўцічы;Болтичи;242992772
Брэсцкая;Баранавіцкі;Брыксічы;Брыксичи;2796560834
Брэсцкая;Баранавіцкі;Вялікае Сяло;Великое Село;242992394
Брэсцкая;Баранавіцкі;Гаранавічы;Гарановичи;242992796
Брэсцкая;Баранавіцкі;Грыбаўшчына;Грибовщина;242994642
Брэсцкая;Баранавіцкі;Душкаўцы;Душковцы;242992420
Брэсцкая;Баранавіцкі;Зялёная;Зелёная;242992438
Брэсцкая;Баранавіцкі;Калдычэва;Колдычево;242994507
Брэсцкая;Баранавіцкі;Канюшоўшчына;Конюшовщина;242992804
Брэсцкая;Баранавіцкі;Кісялі;Кисели;242992397
Брэсцкая;Баранавіцкі;Мастытычы;Мостытычи;242992402
Брэсцкая;Баранавіцкі;Мікулічы;Микуличи;242992807
Брэсцкая;Баранавіцкі;Навасёлкі;Новосёлки;242992441
Брэсцкая;Баранавіцкі;Насейкі;Насейки;2796924912
Брэсцкая;Баранавіцкі;Паручын;Поручин;242992775
Брэсцкая;Баранавіцкі;Пруды;Пруды;2797386760
Брэсцкая;Баранавіцкі;Станкевічы;Станкевичи;242992444
Брэсцкая;Баранавіцкі;Ясянец;Ясенец;242994599
Брэсцкая;Баранавіцкі;Вялікія Лукі;Великие Луки;242994441
Брэсцкая;Баранавіцкі;Грабавец;Грабовец;242994534
Брэсцкая;Баранавіцкі;Кабушкіна;Кабушкино;2798103372
Брэсцкая;Баранавіцкі;Капані;Копани;2798111738
Брэсцкая;Баранавіцкі;Крыжыкі;Крыжики;242994376
Брэсцкая;Баранавіцкі;Малыя Лукі;Малые Луки;1698681103
Брэсцкая;Баранавіцкі;Новыя Лукі;Новые Луки;242994390
Брэсцкая;Баранавіцкі;Русіно;Русино;242994415
Брэсцкая;Баранавіцкі;Янова;Яново;242994546
Брэсцкая;Баранавіцкі;Азярэц;Озерец;242994636
Брэсцкая;Баранавіцкі;Бартнікі;Бартники;242994624
Брэсцкая;Баранавіцкі;Верхняе Чэрніхава;Верхнее Чернихово;
Брэсцкая;Баранавіцкі;Вольна;Вольно;242995970
Брэсцкая;Баранавіцкі;Галынка;Голынка;242995982
Брэсцкая;Баранавіцкі;Задзвея;Задвея;242995973
Брэсцкая;Баранавіцкі;Залессе;Залесье;242994510
Брэсцкая;Баранавіцкі;Ліхасельцы;Лихосельцы;242995985
Брэсцкая;Баранавіцкі;Нагорнае;Нагорное;242995976
Брэсцкая;Баранавіцкі;Ніжняе Чэрніхава;Нижнее Чернихово;242995979
Брэсцкая;Баранавіцкі;Рабковічы;Рабковичи;242995961
Брэсцкая;Баранавіцкі;Росаш;Росошь;242994645
Брэсцкая;Баранавіцкі;Савічы;Савичи;242995966
Брэсцкая;Баранавіцкі;Цішкоўцы;Тишковцы;242996003
Брэсцкая;Баранавіцкі;Чэрніхава;Чернихово;
Брэсцкая;Баранавіцкі;Агароднікі;Огородники;242992554
Брэсцкая;Баранавіцкі;Багушы;Богуши;242992447
Брэсцкая;Баранавіцкі;Гірмантаўцы;Гирмантовцы;242992453
Брэсцкая;Баранавіцкі;Жабінцы;Жабинцы;242992520
Брэсцкая;Баранавіцкі;Жалезніца;Железница;242992510
Брэсцкая;Баранавіцкі;Каўшы;Ковши;242992531
Брэсцкая;Баранавіцкі;Крапачы;Крапочи;242992508
Брэсцкая;Баранавіцкі;Красявічы;Красевичи;242992405
Брэсцкая;Баранавіцкі;Лозы;Лозы;242992430
Брэсцкая;Баранавіцкі;Навінкі;Новинки;242992516
Брэсцкая;Баранавіцкі;Нагорная;Нагорная;242992499
Брэсцкая;Баранавіцкі;Несцяры;Нестеры;242992513
Брэсцкая;Баранавіцкі;Сакаловічы;Соколовичи;242992551
Брэсцкая;Баранавіцкі;Слабажаны;Слобожаны;242992450
Брэсцкая;Баранавіцкі;Сялявічы;Селявичи;242992522
Брэсцкая;Баранавіцкі;Альбінкі;Альбинки;242991644
Брэсцкая;Баранавіцкі;Бор;Бор;242991686
Брэсцкая;Баранавіцкі;Важгінты;Важгинты;242991667
Брэсцкая;Баранавіцкі;Гардзейчыкі;Гордейчики;242991669
Брэсцкая;Баранавіцкі;Дзекалы;Деколы;242991681
Брэсцкая;Баранавіцкі;Дзеткавічы;Детковичи;242991678
Брэсцкая;Баранавіцкі;Дубішча;Дубище;242991695
Брэсцкая;Баранавіцкі;Жамчужны;Жемчужный;2095559399
Брэсцкая;Баранавіцкі;Звераўшчына;Зверовщина;242991722
Брэсцкая;Баранавіцкі;Небыты;Небыты;242991672
Брэсцкая;Баранавіцкі;Пераносіны;Переносины;242991725
Брэсцкая;Баранавіцкі;Сасновая;Сосновая;242991675
